1;1;3;1;6;6;0;1;3;5;5;6;1;3;4;2
2;3;3;0;3;6;0;4;5;0;2;3;0;2;0;2
3;2;2;5;0;3;2;3;4;3;4;1;4;6;4;1
4;5;6;2;4;5;1;3;4;6;0;2;6;1;1;5
5;3;2;5;3;2;4;1;3;6;6;4;2;1;6;6
6;3;4;6;0;5;1;2;0;4;6;5;5;2;1;0
7;0;6;3;4;2;1;1;1;4;1;4;5;1;3;6
8;3;6;6;3;6;5;3;5;0;1;0;2;1;2;5
9;5;6;3;3;0;5;6;3;3;3;6;1;4;0;0
10;3;2;0;0;0;3;0;4;2;5;6;5;5;6;1
11;4;6;6;2;2;5;2;1;3;5;6;2;5;3;0
12;0;3;4;5;1;6;1;1;1;4;0;0;0;2;3
13;6;5;2;5;2;2;1;5;5;6;6;6;3;5;3
14;4;3;5;0;6;5;5;2;4;1;2;4;6;1;3
15;2;1;2;6;2;0;6;5;2;3;4;0;1;5;5
16;2;3;2;0;1;2;2;2;3;2;1;1;4;5;6
17;4;1;1;3;2;3;1;3;3;2;4;0;6;2;1
18;5;1;2;5;3;1;3;4;4;0;5;5;2;4;2
19;0;0;2;1;3;6;5;5;5;5;6;0;0;4;2
20;5;4;0;1;3;0;3;0;1;5;6;4;2;2;3
21;4;6;1;1;4;4;2;6;6;0;3;1;6;6;4
22;3;2;4;6;6;0;2;6;4;0;0;5;3;3;4
23;0;5;2;2;2;3;0;4;3;3;0;5;1;4;0
24;5;5;2;3;1;3;3;3;6;0;2;0;0;5;0
25;4;4;6;0;2;6;5;6;5;0;6;0;2;4;3
26;1;1;2;1;2;4;2;0;2;5;6;3;2;6;4
27;1;1;2;4;2;0;1;3;4;5;1;0;4;2;6
28;2;5;1;2;1;5;3;4;5;4;0;4;4;1;0
29;5;2;1;5;6;5;1;2;5;0;2;0;4;2;3
30;4;0;6;2;0;2;3;3;4;0;2;5;6;4;2
31;4;3;0;0;4;3;6;3;3;1;0;4;6;3;6
32;4;2;0;6;3;2;5;4;0;5;6;5;6;6;4
33;2;6;0;6;4;0;0;5;2;4;1;3;3;1;4
34;6;5;2;0;0;1;6;2;4;1;3;0;6;1;2
35;1;2;0;3;6;3;5;2;2;4;0;2;0;5;5
36;6;6;2;1;6;6;0;5;3;0;3;5;2;5;5
37;5;1;1;6;4;3;1;5;4;5;2;4;5;3;3
38;6;3;0;2;1;2;4;1;2;5;4;0;2;0;3
39;0;4;5;1;1;2;3;3;4;4;2;0;5;5;0
40;3;1;1;1;1;3;1;4;1;2;5;0;0;5;0
41;0;3;2;1;5;3;5;0;6;0;5;4;0;5;1
42;3;6;6;2;2;0;6;5;4;2;2;3;4;2;0
43;4;3;6;4;3;3;6;6;2;1;5;4;5;0;1
44;0;0;6;1;2;0;0;1;6;5;2;5;4;1;6
45;4;2;6;5;2;2;3;1;3;3;3;6;4;5;6
46;4;4;3;2;2;6;5;3;5;2;0;4;4;6;1
47;3;4;4;2;6;1;0;2;0;1;3;4;3;2;3
48;2;1;1;2;2;3;0;4;4;2;0;4;3;2;4
49;5;6;0;6;5;1;1;6;1;0;3;0;5;1;6
50;5;6;2;3;6;4;4;4;4;1;4;3;0;0;1
51;5;0;1;1;4;2;2;3;0;6;1;4;3;1;0
52;1;1;1;2;4;6;1;3;0;4;2;0;5;4;0
53;4;2;4;3;4;6;4;1;5;1;4;5;3;3;0
54;6;0;6;0;0;3;4;4;4;0;2;3;2;1;0
55;5;5;3;6;4;4;3;3;3;4;6;3;5;5;0
